date,level,message
2024-08-11,INFO,Flight data URL constructed successfully
2024-08-11,INFO,Selenium WebDriver for QatarAirways started (FRA - BER)
2024-08-11,INFO,URL opened successfully
2024-08-11,INFO,Accepted cookies successfully
2024-08-11,INFO,Flight details page clicked
2024-08-11,INFO,Flight details page loaded successfully
2024-08-11,INFO,Transit duration extracted
2024-08-11,INFO,Results saved to results/results_QatarAirways.csv
2024-08-11,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-11,INFO,Flight data URL constructed successfully
2024-08-11,INFO,Flight data URL constructed successfully
2024-08-11,INFO,Selenium WebDriver for QatarAirways started (FRA - HAM)
2024-08-11,INFO,URL opened successfully
2024-08-11,INFO,Accepted cookies successfully
2024-08-11,INFO,Flight details page clicked
2024-08-11,INFO,Flight details page loaded successfully
2024-08-11,INFO,Transit duration extracted
2024-08-11,INFO,Results saved to results/results_QatarAirways.csv
2024-08-11,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-11,INFO,Flight data URL constructed successfully
2024-08-11,INFO,Flight data URL constructed successfully
2024-08-11,INFO,Selenium WebDriver for QatarAirways started (FRA - LHR)
2024-08-11,INFO,URL opened successfully
2024-08-11,INFO,Accepted cookies successfully
2024-08-11,INFO,Flight details page clicked
2024-08-11,INFO,Flight details page loaded successfully
2024-08-11,INFO,Transit duration extracted
2024-08-11,INFO,Results saved to results/results_QatarAirways.csv
2024-08-11,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-11,INFO,Flight data URL constructed successfully
2024-08-11,INFO,Flight data URL constructed successfully
2024-08-11,INFO,Selenium WebDriver for QatarAirways started (FRA - IST)
2024-08-11,INFO,URL opened successfully
2024-08-11,INFO,Accepted cookies successfully
2024-08-11,INFO,Flight details page clicked
2024-08-11,INFO,Flight details page loaded successfully
2024-08-11,INFO,Transit duration extracted
2024-08-11,INFO,Results saved to results/results_QatarAirways.csv
2024-08-11,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-11,INFO,Flight data URL constructed successfully
2024-08-11,INFO,Flight data URL constructed successfully
2024-08-11,INFO,Selenium WebDriver for QatarAirways started (FRA - DXB)
2024-08-11,INFO,URL opened successfully
2024-08-11,INFO,Accepted cookies successfully
2024-08-11,INFO,Flight details page clicked
2024-08-11,INFO,Flight details page loaded successfully
2024-08-11,INFO,Transit duration extracted
2024-08-11,INFO,Results saved to results/results_QatarAirways.csv
2024-08-11,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-11,INFO,Flight data URL constructed successfully
2024-08-12,INFO,Flight data URL constructed successfully
2024-08-12,INFO,Selenium WebDriver for QatarAirways started (FRA - BER)
2024-08-12,INFO,URL opened successfully
2024-08-12,INFO,Accepted cookies successfully
2024-08-12,INFO,Flight details page clicked
2024-08-12,INFO,Flight details page loaded successfully
2024-08-12,INFO,Transit duration extracted
2024-08-12,INFO,Results saved to results/results_QatarAirways.csv
2024-08-12,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-12,INFO,Flight data URL constructed successfully
2024-08-12,INFO,Flight data URL constructed successfully
2024-08-12,INFO,Selenium WebDriver for QatarAirways started (FRA - HAM)
2024-08-12,INFO,URL opened successfully
2024-08-12,INFO,Accepted cookies successfully
2024-08-12,INFO,Flight details page clicked
2024-08-12,INFO,Flight details page loaded successfully
2024-08-12,INFO,Transit duration extracted
2024-08-12,INFO,Results saved to results/results_QatarAirways.csv
2024-08-12,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-12,INFO,Flight data URL constructed successfully
2024-08-12,INFO,Flight data URL constructed successfully
2024-08-12,INFO,Selenium WebDriver for QatarAirways started (FRA - LHR)
2024-08-12,INFO,URL opened successfully
2024-08-12,INFO,Accepted cookies successfully
2024-08-12,INFO,Flight details page clicked
2024-08-12,INFO,Flight details page loaded successfully
2024-08-12,INFO,Transit duration extracted
2024-08-12,INFO,Results saved to results/results_QatarAirways.csv
2024-08-12,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-12,INFO,Flight data URL constructed successfully
2024-08-12,INFO,Flight data URL constructed successfully
2024-08-12,INFO,Selenium WebDriver for QatarAirways started (FRA - IST)
2024-08-12,INFO,URL opened successfully
2024-08-12,INFO,Accepted cookies successfully
2024-08-12,INFO,Flight details page clicked
2024-08-12,INFO,Flight details page loaded successfully
2024-08-12,INFO,Transit duration extracted
2024-08-12,INFO,Results saved to results/results_QatarAirways.csv
2024-08-12,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-12,INFO,Flight data URL constructed successfully
2024-08-12,INFO,Flight data URL constructed successfully
2024-08-12,INFO,Selenium WebDriver for QatarAirways started (FRA - DXB)
2024-08-12,INFO,URL opened successfully
2024-08-12,INFO,Accepted cookies successfully
2024-08-12,INFO,Flight details page clicked
2024-08-12,INFO,Flight details page loaded successfully
2024-08-12,INFO,Transit duration extracted
2024-08-12,INFO,Results saved to results/results_QatarAirways.csv
2024-08-12,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-12,INFO,Flight data URL constructed successfully
2024-08-13,INFO,Flight data URL constructed successfully
2024-08-13,INFO,Selenium WebDriver for QatarAirways started (FRA - BER)
2024-08-13,INFO,URL opened successfully
2024-08-13,INFO,Accepted cookies successfully
2024-08-13,INFO,Flight details page clicked
2024-08-13,INFO,Flight details page loaded successfully
2024-08-13,INFO,Transit duration extracted
2024-08-13,INFO,Results saved to results/results_QatarAirways.csv
2024-08-13,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-13,INFO,Flight data URL constructed successfully
2024-08-13,INFO,Flight data URL constructed successfully
2024-08-13,INFO,Selenium WebDriver for QatarAirways started (FRA - HAM)
2024-08-13,INFO,URL opened successfully
2024-08-13,INFO,Accepted cookies successfully
2024-08-13,INFO,Flight details page clicked
2024-08-13,INFO,Flight details page loaded successfully
2024-08-13,INFO,Transit duration extracted
2024-08-13,INFO,Results saved to results/results_QatarAirways.csv
2024-08-13,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-13,INFO,Flight data URL constructed successfully
2024-08-13,INFO,Flight data URL constructed successfully
2024-08-13,INFO,Selenium WebDriver for QatarAirways started (FRA - LHR)
