airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price
QatarAirways,24-08-2024,FRA,SAW,25-08-2024,11:40,17:15,05:55,True,01:25,995.0
QatarAirways,24-08-2024,FRA,DXB,25-08-2024,11:45,20:30,10:15,True,04:30,636.0
QatarAirways,25-08-2024,FRA,BER,26-08-2024,17:25,20:30,13:55,True,05:30,1.306
QatarAirways,25-08-2024,FRA,HAM,26-08-2024,14:35,17:15,07:50,True,02:05,5.099
QatarAirways,25-08-2024,FRA,LHR,26-08-2024,14:10,17:15,06:25,True,00:00,1.975
QatarAirways,25-08-2024,FRA,SAW,26-08-2024,14:40,20:30,12:10,True,04:25,965.0
QatarAirways,25-08-2024,FRA,DXB,26-08-2024,12:55,20:30,11:25,True,00:00,488.0
QatarAirways,26-08-2024,FRA,BER,27-08-2024,34:50,20:30,07:20,True,22:55,1.288
QatarAirways,26-08-2024,FRA,HAM,27-08-2024,19:20,20:30,15:50,True,06:50,1.865
QatarAirways,26-08-2024,FRA,LHR,27-08-2024,14:35,17:15,06:50,True,01:10,3.093
QatarAirways,26-08-2024,FRA,SAW,27-08-2024,32:25,20:30,05:55,True,22:10,819.0
QatarAirways,26-08-2024,FRA,DXB,27-08-2024,09:00,10:25,21:25,True,01:45,479.0
QatarAirways,27-08-2024,FRA,BER,28-08-2024,17:05,20:50,13:55,True,05:10,1.427
QatarAirways,27-08-2024,FRA,HAM,28-08-2024,14:35,17:15,07:50,True,02:05,5.099
QatarAirways,27-08-2024,FRA,LHR,28-08-2024,17:25,20:50,13:15,True,04:15,2.925
QatarAirways,27-08-2024,FRA,SAW,28-08-2024,11:40,17:15,05:55,True,01:25,965.0
QatarAirways,27-08-2024,FRA,DXB,28-08-2024,08:00,17:15,03:15,True,00:45,478.0
QatarAirways,28-08-2024,FRA,BER,29-08-2024,17:25,20:30,13:55,True,05:30,2.016
QatarAirways,28-08-2024,FRA,HAM,29-08-2024,35:20,20:30,07:50,True,22:50,3.321
QatarAirways,28-08-2024,FRA,LHR,29-08-2024,14:10,17:15,06:25,True,00:00,7.155
QatarAirways,28-08-2024,FRA,SAW,29-08-2024,14:40,20:30,12:10,True,04:25,965.0
QatarAirways,28-08-2024,FRA,DXB,29-08-2024,11:45,20:30,10:15,True,04:30,487.0
QatarAirways,29-08-2024,FRA,BER,30-08-2024,17:25,20:30,13:55,True,05:30,2.046
QatarAirways,29-08-2024,FRA,HAM,30-08-2024,14:35,17:15,07:50,True,02:05,5.229
QatarAirways,29-08-2024,FRA,LHR,30-08-2024,18:40,20:30,14:10,True,05:30,3.167
QatarAirways,29-08-2024,FRA,SAW,30-08-2024,11:40,17:15,05:55,True,01:25,995.0
QatarAirways,29-08-2024,FRA,DXB,30-08-2024,08:30,10:25,20:55,True,01:15,524.0
QatarAirways,30-08-2024,FRA,BER,31-08-2024,00:00,00:00,00:00,False,00:00,00.00
QatarAirways,30-08-2024,FRA,HAM,31-08-2024,17:40,20:30,14:10,True,05:10,979.0
QatarAirways,30-08-2024,FRA,LHR,31-08-2024,17:45,20:30,13:15,True,04:35,2.035
QatarAirways,30-08-2024,FRA,SAW,31-08-2024,14:40,20:30,12:10,True,04:25,1.012
QatarAirways,30-08-2024,FRA,DXB,31-08-2024,11:45,20:30,10:15,True,04:30,525.0
