,airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price,tavg_departure,tmin_departure,tmax_departure,prcp_departure,wdir_departure,wspd_departure,wpgt_departure,pres_departure,tavg_destination,tmin_destination,tmax_destination,prcp_destination,wdir_destination,wspd_destination,wpgt_destination,pres_destination,Open,High,Low,Close,Adj Close,Volume
665,Lufthansa,2024-08-25,FRA,JFK,2024-08-26,11:50,10:25,16:15,True,02:00,1596.78,17.6,11.3,23.9,0.0,17.0,7.6,16.7,1022.4,24.3,18.2,30.4,0.0,229.0,14.4,,1019.9,5.708000183105469,5.7179999351501465,5.662000179290772,5.671999931335449,5.671999931335449,1844862.0
666,Lufthansa,2024-08-25,FRA,HAM,2024-08-26,01:05,20:15,21:20,False,00:00,313.08,17.6,11.3,23.9,0.0,17.0,7.6,16.7,1022.4,16.5,11.7,20.7,0.0,202.0,13.3,38.9,1021.3,5.708000183105469,5.7179999351501465,5.662000179290772,5.671999931335449,5.671999931335449,1844862.0
667,Lufthansa,2024-08-25,FRA,BER,2024-08-26,01:10,11:45,12:55,False,00:00,333.6,17.6,11.3,23.9,0.0,17.0,7.6,16.7,1022.4,17.8,11.3,24.7,0.0,192.0,8.1,24.1,1022.1,5.708000183105469,5.7179999351501465,5.662000179290772,5.671999931335449,5.671999931335449,1844862.0
668,Lufthansa,2024-08-25,FRA,DXB,2024-08-26,11:15,07:50,21:05,True,03:55,1019.91,17.6,11.3,23.9,0.0,17.0,7.6,16.7,1022.4,36.5,33.6,40.1,0.0,6.0,12.9,,999.8,5.708000183105469,5.7179999351501465,5.662000179290772,5.671999931335449,5.671999931335449,1844862.0
669,Lufthansa,2024-08-25,FRA,HAM,2024-08-26,01:05,20:15,21:20,False,00:00,313.08,17.6,11.3,23.9,0.0,17.0,7.6,16.7,1022.4,16.5,11.7,20.7,0.0,202.0,13.3,38.9,1021.3,5.708000183105469,5.7179999351501465,5.662000179290772,5.671999931335449,5.671999931335449,1844862.0
670,Lufthansa,2024-08-25,FRA,BER,2024-08-26,01:10,11:45,12:55,False,00:00,333.6,17.6,11.3,23.9,0.0,17.0,7.6,16.7,1022.4,17.8,11.3,24.7,0.0,192.0,8.1,24.1,1022.1,5.708000183105469,5.7179999351501465,5.662000179290772,5.671999931335449,5.671999931335449,1844862.0
671,Lufthansa,2024-08-25,FRA,MUC,2024-08-26,00:55,12:15,13:10,False,00:00,369.0,17.6,11.3,23.9,0.0,17.0,7.6,16.7,1022.4,14.6,12.3,16.3,0.6,73.0,5.4,18.0,1022.5,5.708000183105469,5.7179999351501465,5.662000179290772,5.671999931335449,5.671999931335449,1844862.0
672,QatarAirways,2024-08-26,FRA,BER,2024-08-27,34:50,20:30,07:20,True,22:55,1.288,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,19.2,12.0,26.5,0.0,120.0,9.5,25.9,1023.1,,,,,,
673,QatarAirways,2024-08-26,FRA,HAM,2024-08-27,19:20,20:30,15:50,True,06:50,1.865,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,18.8,12.7,25.0,0.0,157.0,9.2,27.8,1022.7,,,,,,
674,QatarAirways,2024-08-26,FRA,LHR,2024-08-27,14:35,17:15,06:50,True,01:10,3.093,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,18.4,14.2,23.7,0.0,176.0,14.7,37.0,1017.7,,,,,,
675,QatarAirways,2024-08-26,FRA,SAW,2024-08-27,32:25,20:30,05:55,True,22:10,819.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,26.4,23.4,30.0,0.5,35.0,17.1,,1011.6,,,,,,
676,QatarAirways,2024-08-26,FRA,DXB,2024-08-27,09:00,10:25,21:25,True,01:45,479.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,36.9,33.1,40.8,,11.0,12.1,,999.1,,,,,,
677,Lufthansa,2024-08-26,FRA,PVG,2024-08-27,12:15,15:00,09:15,False,00:00,1521.76,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,30.7,28.3,33.9,1.2,206.0,9.7,,1001.4,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
678,Lufthansa,2024-08-26,FRA,JFK,2024-08-27,11:30,07:50,13:20,True,01:25,1600.63,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,24.0,18.0,30.6,0.0,131.0,13.3,,1017.5,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
679,Lufthansa,2024-08-26,FRA,DXB,2024-08-27,11:15,07:50,21:05,True,03:55,1019.91,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,36.9,33.1,40.8,,11.0,12.1,,999.1,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
680,Lufthansa,2024-08-26,FRA,SAW,2024-08-27,03:00,09:05,13:05,False,00:00,243.65,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,26.4,23.4,30.0,0.5,35.0,17.1,,1011.6,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
681,Lufthansa,2024-08-26,FRA,PVG,2024-08-27,12:15,15:00,09:15,False,00:00,1521.76,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,30.7,28.3,33.9,1.2,206.0,9.7,,1001.4,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
682,Lufthansa,2024-08-26,FRA,PMI,2024-08-27,02:05,10:20,12:25,False,00:00,315.98,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,24.6,20.0,29.6,0.0,159.0,9.8,,1015.8,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
683,KLM,2024-08-26,FRA,BER,2024-08-27,03:30,12:30,13:45,True,01:00,1296.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,19.2,12.0,26.5,0.0,120.0,9.5,25.9,1023.1,7.659999847412109,7.889999866485596,7.630000114440918,7.820000171661377,7.820000171661377,1430633.0
