,airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price
67,Lufthansa,12-08-2024,Frankfurt,Palma de Mallorca,13-08-2024,02:05,10:20,12:25,False,00:00,315.98
68,Lufthansa,12-08-2024,Frankfurt,Istanbul,13-08-2024,03:00,09:05,13:05,False,00:00,243.65
69,Lufthansa,12-08-2024,Frankfurt,Dubai,13-08-2024,22:05,21:00,21:05,True,13:35,952.03
70,Lufthansa,12-08-2024,Frankfurt,New York,13-08-2024,10:55,07:50,12:45,True,01:15,1601.42
71,Lufthansa,12-08-2024,Frankfurt,Shanghai,13-08-2024,12:15,15:00,09:15,False,00:00,1521.76
72,Lufthansa,13-08-2024,Frankfurt,Berlin,14-08-2024,01:10,11:45,12:55,False,00:00,333.6
73,Lufthansa,13-08-2024,Frankfurt,Hamburg,14-08-2024,01:05,20:15,21:20,False,00:00,313.08
74,Lufthansa,13-08-2024,Frankfurt,München,14-08-2024,00:55,13:15,14:10,False,00:00,369.0
75,Lufthansa,13-08-2024,Frankfurt,London,14-08-2024,01:25,08:15,08:40,False,00:00,235.6
76,Lufthansa,13-08-2024,Frankfurt,Palma de Mallorca,14-08-2024,02:05,10:20,12:25,False,00:00,315.98
77,Lufthansa,13-08-2024,Frankfurt,Istanbul,14-08-2024,03:00,09:05,13:05,False,00:00,243.65
78,Lufthansa,13-08-2024,Frankfurt,Dubai,14-08-2024,25:25,17:40,21:05,True,14:55,979.11
79,Lufthansa,13-08-2024,Frankfurt,New York,14-08-2024,10:55,07:50,12:45,True,01:15,1601.39
80,Lufthansa,13-08-2024,Frankfurt,Shanghai,14-08-2024,12:15,15:00,09:15,False,00:00,1521.76
81,Lufthansa,14-08-2024,Frankfurt,Berlin,15-08-2024,01:10,21:15,22:25,False,00:00,333.6
82,Lufthansa,14-08-2024,Frankfurt,Hamburg,15-08-2024,01:05,20:15,21:20,False,00:00,313.08
83,Lufthansa,14-08-2024,Frankfurt,München,15-08-2024,00:55,07:15,08:10,False,00:00,141.0
84,Lufthansa,14-08-2024,Frankfurt,London,15-08-2024,01:25,08:15,08:40,False,00:00,235.6
85,Lufthansa,14-08-2024,Frankfurt,Palma de Mallorca,15-08-2024,02:05,10:20,12:25,False,00:00,315.98
86,Lufthansa,14-08-2024,Frankfurt,Istanbul,15-08-2024,03:00,09:05,13:05,False,00:00,243.65
87,Lufthansa,14-08-2024,Frankfurt,Dubai,15-08-2024,11:15,07:50,21:05,True,03:55,911.94
88,Lufthansa,14-08-2024,Frankfurt,New York,15-08-2024,11:30,07:50,13:20,True,01:25,1601.31
89,Lufthansa,14-08-2024,Frankfurt,Shanghai,15-08-2024,12:15,15:00,09:15,False,00:00,1521.76
90,Lufthansa,15-08-2024,Frankfurt,Berlin,16-08-2024,01:10,21:15,22:25,False,00:00,177.6
91,Lufthansa,15-08-2024,Frankfurt,Hamburg,16-08-2024,01:05,20:15,21:20,False,00:00,313.08
92,Lufthansa,15-08-2024,Frankfurt,München,16-08-2024,00:55,07:15,08:10,False,00:00,141.0
93,Lufthansa,15-08-2024,Frankfurt,London,16-08-2024,01:25,08:15,08:40,False,00:00,235.62
94,Lufthansa,15-08-2024,Frankfurt,Palma de Mallorca,16-08-2024,02:10,09:05,11:15,False,00:00,315.98
95,Lufthansa,15-08-2024,Frankfurt,Istanbul,16-08-2024,03:00,09:05,13:05,False,00:00,243.65
96,Lufthansa,15-08-2024,Frankfurt,Dubai,16-08-2024,11:15,07:50,21:05,True,03:55,919.91
97,Lufthansa,15-08-2024,Frankfurt,New York,16-08-2024,10:55,07:50,12:45,True,01:15,1601.19
98,Lufthansa,15-08-2024,Frankfurt,Shanghai,16-08-2024,12:15,15:00,09:15,False,00:00,1521.76
99,Lufthansa,16-08-2024,Frankfurt,Berlin,17-08-2024,01:10,06:45,07:55,False,00:00,177.6
100,Lufthansa,16-08-2024,Frankfurt,Hamburg,17-08-2024,01:05,06:30,07:35,False,00:00,241.08
101,Lufthansa,16-08-2024,Frankfurt,München,17-08-2024,00:55,07:15,08:10,False,00:00,189.0
102,Lufthansa,16-08-2024,Frankfurt,London,17-08-2024,01:40,21:30,22:10,False,00:00,276.65
103,Lufthansa,16-08-2024,Frankfurt,Palma de Mallorca,17-08-2024,02:10,04:50,07:00,False,00:00,315.98
104,Lufthansa,16-08-2024,Frankfurt,Istanbul,17-08-2024,03:00,09:05,13:05,False,00:00,243.65
105,Lufthansa,16-08-2024,Frankfurt,Dubai,17-08-2024,12:25,06:40,21:05,True,05:05,982.85
106,Lufthansa,16-08-2024,Frankfurt,New York,17-08-2024,11:30,13:15,18:45,True,01:55,1484.87
107,Lufthansa,16-08-2024,Frankfurt,Shanghai,17-08-2024,12:15,15:00,09:15,False,00:00,1521.76
108,Lufthansa,17-08-2024,Frankfurt,Berlin,18-08-2024,01:10,07:45,08:55,False,00:00,177.6
109,Lufthansa,17-08-2024,Frankfurt,Hamburg,18-08-2024,01:05,06:30,07:35,False,00:00,241.08
