Date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City
2024-08-11,24.0,17.1,30.6,0.0,0.0,23.0,8.6,20.4,1020.4,799.0,Frankfurt
2024-08-11,18.1,11.4,23.4,0.0,0.0,282.0,12.6,42.1,1021.4,750.0,Hamburg
2024-08-12,38.5,35.0,42.0,0.0,,25.0,15.1,,996.7,,Dubai
2024-08-12,28.7,24.0,32.0,0.0,,175.0,10.7,,1011.7,,Palma
2024-08-12,24.1,21.0,27.8,0.3,0.0,276.0,10.2,,1015.3,,New_York
2024-08-12,18.4,8.5,26.2,0.0,0.0,56.0,9.0,28.4,1016.5,831.0,Hamburg
2024-08-12,27.6,24.0,32.0,0.0,,55.0,20.4,,1013.6,,Istanbul
2024-08-12,25.9,18.6,33.0,0.0,0.0,88.0,9.5,25.9,1013.7,819.0,Frankfurt
2024-08-12,31.5,30.0,35.0,7.7,,140.0,10.0,,1001.7,,Shanghai
2024-08-12,20.4,13.2,26.9,0.0,0.0,65.0,7.6,22.2,1016.8,,Berlin
2024-08-12,24.8,18.8,32.1,0.0,,161.0,16.6,37.0,1009.2,,London
2024-08-12,25.5,18.4,31.7,0.0,0.0,49.0,5.8,28.1,1012.3,660.0,Munich
2024-08-13,19.4,13.7,25.4,0.6,,228.0,13.1,35.2,1009.7,,London
2024-08-13,31.6,28.0,35.0,0.0,,145.0,11.7,,1005.3,,Shanghai
2024-08-13,28.0,24.0,32.0,0.0,,194.0,10.4,,1009.5,,Palma
2024-08-13,22.5,14.6,29.9,0.0,0.0,103.0,14.0,29.6,1013.2,,Berlin
2024-08-13,38.3,34.0,44.2,0.0,,71.0,15.1,,998.3,,Dubai
2024-08-13,26.8,20.2,34.9,10.8,0.0,159.0,5.8,24.1,1010.3,601.0,Frankfurt
2024-08-13,24.2,16.4,31.3,7.2,0.0,108.0,17.3,35.6,1011.6,799.0,Hamburg
2024-08-13,24.8,18.9,32.6,1.2,0.0,168.0,9.7,57.2,1010.2,656.0,Munich
2024-08-13,28.6,23.6,34.0,0.0,,51.0,21.5,,1011.1,,Istanbul
2024-08-13,24.2,20.0,29.0,0.0,0.0,305.0,7.8,,1016.5,,New_York
2024-08-14,19.6,15.7,24.0,0.4,,233.0,8.3,25.9,1013.1,,London
2024-08-14,37.9,34.0,44.0,0.0,,74.0,17.1,,999.3,,Dubai
2024-08-14,25.9,18.2,31.1,0.0,0.0,354.0,8.0,,1017.4,,New_York
2024-08-14,31.5,26.0,35.0,0.0,,82.0,13.3,,1006.5,,Shanghai
2024-08-14,26.1,22.0,30.0,3.2,,53.0,9.8,,1010.0,,Palma
2024-08-14,29.2,25.5,35.0,0.0,,57.0,32.3,,1011.6,,Istanbul
2024-08-14,19.7,16.6,23.6,22.8,0.0,6.0,8.6,50.8,1011.9,21.0,Hamburg
2024-08-14,23.0,17.1,31.0,4.1,0.0,235.0,9.0,54.7,1011.6,654.0,Munich
2024-08-14,23.9,19.7,29.8,0.0,0.0,268.0,8.7,22.2,1010.9,463.0,Frankfurt
2024-08-14,24.5,17.2,31.8,0.4,0.0,120.0,14.9,33.3,1011.7,,Berlin
2024-08-15,23.6,20.0,27.6,0.0,0.0,260.0,10.2,27.8,1014.2,,Berlin
2024-08-15,27.3,24.0,32.0,0.0,,56.0,27.3,,1014.3,,Istanbul
2024-08-15,20.5,17.1,24.7,0.0,0.0,237.0,9.0,27.7,1014.5,128.0,Hamburg
2024-08-15,22.4,16.7,28.2,0.0,0.0,38.0,6.5,23.8,1016.4,786.0,Munich
2024-08-15,30.5,27.0,34.0,0.3,,46.0,11.5,,1006.3,,Shanghai
2024-08-15,37.5,33.7,43.0,0.0,,24.0,16.1,,998.8,,Dubai
2024-08-15,23.5,18.3,29.3,0.0,0.0,253.0,7.4,20.4,1016.7,705.0,Frankfurt
2024-08-15,26.3,19.8,31.0,0.0,0.0,298.0,7.7,,1017.5,,New_York
2024-08-15,18.5,13.5,22.3,0.0,,224.0,20.3,53.7,1014.8,,London
2024-08-15,23.2,21.8,27.0,9.8,,36.0,7.6,,1013.8,,Palma
2024-08-16,24.2,20.0,30.0,0.0,0.0,240.0,10.0,25.9,1016.0,705.0,Frankfurt
2024-08-16,24.5,19.0,29.8,0.5,0.0,313.0,5.0,23.4,1015.1,558.0,Munich
2024-08-16,24.2,21.0,28.0,4.9,,355.0,8.7,,1014.5,,Palma
2024-08-16,26.2,22.0,30.0,0.0,,59.0,23.7,,1015.2,,Istanbul
2024-08-16,19.1,15.4,23.0,0.4,,276.0,11.2,29.6,1014.7,,London
2024-08-16,19.8,16.8,22.3,1.9,0.0,227.0,13.0,40.7,1013.8,155.0,Hamburg
2024-08-16,23.0,17.1,28.7,0.0,0.0,252.0,11.1,33.3,1014.9,,Berlin
2024-08-16,25.9,22.8,31.0,0.0,0.0,262.0,7.7,,1017.2,,New_York
2024-08-16,37.4,35.0,41.1,0.0,,18.0,11.5,,995.9,,Dubai
2024-08-16,30.7,27.0,35.0,1.6,,62.0,11.8,,1006.9,,Shanghai
2024-08-17,22.4,18.1,28.1,5.7,0.0,240.0,8.4,20.4,1013.1,225.0,Frankfurt
2024-08-17,31.6,29.0,35.0,0.1,,106.0,11.3,,1008.3,,Shanghai
2024-08-17,27.2,23.0,31.0,0.2,,338.0,10.7,,1014.4,,Palma
2024-08-17,36.1,32.7,42.1,0.0,,87.0,23.8,,996.1,,Dubai
2024-08-17,26.0,22.0,30.0,0.0,,55.0,24.0,,1012.9,,Istanbul
2024-08-17,22.4,19.1,26.1,2.4,0.0,309.0,6.1,27.4,1012.5,303.0,Munich
2024-08-17,16.8,11.3,22.6,0.0,,284.0,9.2,22.2,1013.7,,London
2024-08-17,22.3,18.7,26.6,0.0,0.0,298.0,8.8,25.9,1012.4,,Berlin
2024-08-17,17.7,13.9,20.8,0.0,0.0,348.0,4.3,14.8,1013.4,42.0,Hamburg
2024-08-17,23.7,22.0,26.1,0.1,0.0,134.0,10.8,,1015.9,,New_York
2024-08-18,19.1,16.3,21.9,54.5,0.0,269.0,9.7,40.7,1009.0,20.0,Munich
2024-08-18,26.1,22.0,30.1,0.0,,42.0,22.7,,1009.8,,Istanbul
2024-08-18,16.7,11.6,20.8,0.1,0.0,9.0,5.4,24.1,1012.3,24.0,Hamburg
2024-08-18,19.7,16.2,22.6,1.4,0.0,262.0,11.8,25.9,1010.3,8.0,Frankfurt
2024-08-18,36.3,32.5,41.5,0.0,,85.0,26.1,,998.7,,Dubai
2024-08-18,31.1,29.0,34.0,3.6,,120.0,14.8,,1007.0,,Shanghai
2024-08-18,24.3,21.7,28.0,13.0,0.0,133.0,11.9,,1010.7,,New_York
2024-08-18,25.9,22.0,29.0,0.4,,237.0,9.7,,1012.3,,Palma
2024-08-18,20.2,17.9,22.7,0.0,0.0,4.0,11.6,29.6,1009.6,,Berlin
2024-08-18,17.5,11.7,23.3,0.0,,277.0,11.7,31.5,1014.2,,London
2024-08-19,15.7,14.6,17.0,5.7,0.0,293.0,9.7,31.7,1016.1,0.0,Munich
2024-08-19,31.8,29.0,36.0,3.1,,139.0,18.6,,1004.4,,Shanghai
2024-08-19,17.1,12.4,21.9,0.0,0.0,292.0,6.5,23.4,1017.6,416.0,Hamburg
2024-08-19,19.2,14.3,25.0,0.0,0.0,5.0,8.0,16.7,1017.2,547.0,Frankfurt
2024-08-19,26.2,22.8,29.0,1.1,,125.0,12.2,,1012.6,,Palma
2024-08-19,18.7,15.8,22.3,0.0,0.0,335.0,11.4,27.8,1016.1,,Berlin
2024-08-19,25.4,21.9,28.4,0.0,,38.0,12.2,,1010.0,,Istanbul
2024-08-19,36.4,33.0,42.0,0.0,,89.0,19.7,,1000.0,,Dubai
2024-08-19,16.6,10.6,21.3,1.0,,207.0,15.4,44.5,1015.6,,London
2024-08-19,24.8,21.7,30.0,6.7,0.0,294.0,7.5,,1005.9,,New_York
2024-08-20,19.0,12.6,25.6,12.4,0.0,151.0,12.2,37.1,1012.2,681.0,Hamburg
2024-08-20,18.6,13.6,22.0,0.3,,236.0,20.6,42.6,1009.9,,London
2024-08-20,20.8,17.8,24.4,0.0,0.0,318.0,7.1,,1012.4,,New_York
2024-08-20,36.1,33.0,41.0,0.0,,85.0,18.7,,999.3,,Dubai
2024-08-20,32.2,29.0,36.0,0.2,,154.0,14.0,,1004.0,,Shanghai
2024-08-20,19.6,13.7,24.3,0.1,0.0,125.0,7.8,20.4,1013.6,355.0,Frankfurt
2024-08-20,25.6,20.0,30.0,0.0,,245.0,13.0,,1013.4,,Palma
2024-08-20,19.7,12.5,26.9,0.0,0.0,136.0,10.2,25.9,1014.5,,Berlin
2024-08-20,17.3,15.7,20.1,0.0,0.0,102.0,6.1,22.3,1013.5,59.0,Munich
2024-08-20,26.0,22.0,31.0,0.0,,67.0,12.5,,1010.5,,Istanbul
2024-08-21,34.8,32.0,39.0,0.0,,78.0,21.1,,1001.5,,Dubai
2024-08-21,26.2,23.8,30.0,0.0,,36.0,21.2,,1007.1,,Istanbul
2024-08-21,20.0,15.6,25.0,0.0,0.0,289.0,8.7,,1017.6,,New_York
2024-08-21,30.3,27.0,35.0,11.0,,208.0,14.6,,1004.4,,Shanghai
2024-08-21,18.9,14.2,23.0,0.0,0.0,271.0,13.9,27.8,1016.0,589.0,Frankfurt
2024-08-21,15.5,10.3,19.8,0.0,,241.0,19.5,44.5,1016.7,,London
2024-08-21,17.7,12.5,22.2,0.4,0.0,263.0,9.7,43.2,1016.6,276.0,Munich
2024-08-21,25.9,21.0,30.0,0.0,,275.0,12.1,,1016.5,,Palma
2024-08-21,16.7,13.7,19.3,2.2,0.0,254.0,16.9,59.8,1011.9,511.0,Hamburg
2024-08-21,19.5,15.3,21.4,0.0,0.0,256.0,16.9,48.2,1011.4,,Berlin
2024-08-22,17.7,11.2,24.4,0.0,0.0,5.0,5.4,19.4,1014.8,739.0,Munich
2024-08-22,30.9,27.0,35.0,0.0,,230.0,10.4,,1006.8,,Shanghai
2024-08-22,21.3,16.0,26.1,0.0,,272.0,9.0,,1021.6,,New_York
2024-08-22,35.0,32.0,39.0,0.0,,20.0,16.7,,1002.0,,Dubai
2024-08-22,25.8,22.0,29.0,0.0,,247.0,10.1,,1014.5,,Palma
2024-08-22,17.4,12.5,22.4,0.0,0.0,225.0,12.1,33.3,1013.2,,Berlin
2024-08-22,17.2,15.0,19.5,2.9,,208.0,27.3,53.7,1007.5,,London
2024-08-22,26.7,23.7,32.0,0.0,,21.0,14.3,,1008.0,,Istanbul
2024-08-22,18.4,11.8,24.8,0.0,0.0,199.0,9.2,25.9,1015.0,714.0,Frankfurt
2024-08-22,17.6,13.0,21.1,0.1,0.0,216.0,18.0,44.3,1010.3,171.0,Hamburg
2024-08-23,20.0,13.8,25.1,0.2,0.0,221.0,22.7,62.3,1006.1,303.0,Hamburg
2024-08-23,18.6,15.3,21.8,2.2,,227.0,24.9,48.2,1004.1,,London
2024-08-23,36.3,33.0,41.0,0.0,,16.0,13.9,,1001.8,,Dubai
2024-08-23,26.3,22.0,31.0,0.0,,254.0,10.2,,1014.9,,Palma
2024-08-23,21.6,15.4,28.6,0.0,0.0,224.0,16.0,40.8,1011.6,685.0,Frankfurt
2024-08-23,32.4,29.0,37.0,0.0,,135.0,10.1,,1008.2,,Shanghai
2024-08-23,28.2,23.9,33.0,0.0,,39.0,19.4,,1013.0,,Istanbul
2024-08-23,23.2,19.0,28.3,0.0,,265.0,8.2,,1025.0,,New_York
2024-08-23,21.6,13.8,29.5,0.0,0.0,211.0,7.6,29.2,1013.3,750.0,Munich
2024-08-23,21.2,14.3,28.7,0.0,0.0,211.0,15.9,46.3,1008.9,,Berlin
2024-08-24,37.4,34.0,40.0,0.0,,70.0,13.4,,1001.5,,Dubai
2024-08-24,21.9,14.3,28.7,5.4,0.0,175.0,18.4,65.9,1007.8,480.0,Hamburg
2024-08-24,24.2,20.0,29.0,0.0,,242.0,8.1,,1024.3,,New_York
2024-08-24,24.1,14.8,31.4,0.0,0.0,141.0,7.6,27.0,1012.5,788.0,Munich
2024-08-24,24.1,17.1,31.4,0.0,0.0,187.0,14.1,38.9,1011.3,,Berlin
2024-08-24,27.5,22.0,33.0,0.0,,51.0,10.5,,1014.3,,Palma
2024-08-24,31.5,27.5,37.0,0.0,,89.0,10.4,,1008.6,,Shanghai
2024-08-24,15.0,12.1,16.6,11.7,,213.0,12.0,31.5,1005.6,,London
2024-08-24,24.8,17.0,32.2,0.0,0.0,200.0,14.6,37.0,1011.1,766.0,Frankfurt
2024-08-24,27.6,24.7,31.0,0.0,,54.0,20.7,,1015.2,,Istanbul
2024-08-25,24.5,20.6,30.1,0.0,,221.0,14.2,,1023.0,,New_York
2024-08-25,14.4,8.8,19.2,0.0,,225.0,20.8,50.0,1017.7,,London
2024-08-25,31.3,29.0,34.9,0.4,,103.0,9.6,,1007.5,,Shanghai
2024-08-25,20.2,14.6,22.3,0.0,0.0,266.0,15.8,40.8,1015.4,,Berlin
2024-08-25,26.8,23.1,31.0,0.0,,52.0,19.9,,1015.4,,Palma
2024-08-25,37.1,33.7,40.5,0.0,,34.0,12.9,,1001.2,,Dubai
2024-08-25,19.7,14.9,24.1,1.2,,252.0,13.6,25.9,1019.2,,Frankfurt
2024-08-25,17.4,14.9,20.4,5.4,0.0,246.0,18.3,49.0,1014.9,,Hamburg
